# relpath	width	height	bytes	sha256
platformer-art-deluxe/Base pack/Player/p3_walk/p3_walk.png	256	512	35464	d0765df28adf7f73a36a25416ca4a1efb323988952fbfa95566e75dd2c6883d2
platformer-art-deluxe/Base pack/Tiles/box.png	70	70	1213	6910ffa62929f534c656bcd99497e2133f0b2d248d8afd54ad7a2ca442120cbb
platformer-art-deluxe/Base pack/Tiles/boxAlt.png	70	70	1561	6f7444fa23901c2833a5ce68c1d11eecf26eb36d0bf2af1086a4ee172cf8d781
platformer-art-deluxe/Base pack/Tiles/boxCoin.png	70	70	1349	03a415231eab80f4b18d4707269917c2bb8243edf3a9e9e7d54e670488a63807
platformer-art-deluxe/Base pack/Tiles/boxCoinAlt.png	70	70	1470	fa77e962ad4302027f2916a387603843e90219d7b6375185afe70079426a2b86
platformer-art-deluxe/Base pack/Tiles/boxCoinAlt_disabled.png	70	70	1485	ceb97ac4b8c2903797f10b88363c7e86311ea59645c0951f9026f022743ddab9
platformer-art-deluxe/Base pack/Tiles/boxCoin_disabled.png	70	70	1383	1bc6a4bae40f91f62568b0b76af120f0c25bed50ecac14100098d9fe96101f51
platformer-art-deluxe/Base pack/Tiles/boxEmpty.png	70	70	755	a842b154bfb374a0c08ab87f55ffad435d9065ea0bfaafb9f6a9d6a51e1a1838
platformer-art-deluxe/Base pack/Tiles/boxExplosive.png	70	70	1099	26a00ecd0d48e541b880e47e20112925cd08a2affd95c3b8bd1e0ecaf5202f8d
platformer-art-deluxe/Base pack/Tiles/boxExplosiveAlt.png	70	70	887	50e6f7e33304c5c6a6a901a4a661baf388acce57a153ab84eb1872c9f8766f07
platformer-art-deluxe/Base pack/Tiles/boxExplosive_disabled.png	70	70	1107	b5e3ae9bd7d988f7d38fff38384441d034135ce4c502ae89a8bc377b30708b27
platformer-art-deluxe/Base pack/Tiles/boxItem.png	70	70	1139	9a902840767539bbba47e02992fe770153274e59ea5bbb0da2e0f3701b5e101a
